is_there_an_emotion_directed_at_a_brand_or_product,tweet
Positive emotion,mention mention  google circles will be their new social media site wow #sxsw
Positive emotion,mention mention  in our studies players tell us &quotpetting my iphone makes me happy&quot #tapworthy #sxsw
No emotion toward brand or product,mention mention ûïmention apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
No emotion toward brand or product,mention mention {link} #sxsw thanks for signing my ipad
No emotion toward brand or product,nice rt mention {link} killer shot i got last night of mention at the #nokiaconnects concert for #sxsw
No emotion toward brand or product,mention mention mention mention google to launch major new social network called circles possibly today  #sxsw {link}
Negative emotion,mention mention mention mention paper phones  means an ipad will likely be useless at #sxsw as well #fail
Positive emotion,mention mention mention &quotmention google to launch major new social network circles possibly today {link}  #sxsw&quot
No emotion toward brand or product,mention mention mention among companies trying to make impression at #sxsw interactive {link} #sxswi
No emotion toward brand or product,mention mention mention can hear them workin hard in there #apple must be payin them plenty #sxsw {link}
No emotion toward brand or product,mention mention mention google circles indeed but not going to be at #sxsw they will likely release at google i/o in may
No emotion toward brand or product,mention mention mention google to launch major new social network called circlesrwwto/f6bcet #sxsw
No emotion toward brand or product,mention mention mention hmmmhow fast can #apple build a new store in time for #sxsw  {link}
No emotion toward brand or product,mention mention mention hope #apple visits #art from the ipad 8th &amp congress since #sxsw gets own apple store {link}
No emotion toward brand or product,mention mention mention rt mention google to launch major new social networkcircles posbly today {link} #sxsw
No emotion toward brand or product,"mention mention mention thanks for making great products

great for making #sxsw party podcasts {link}"
No emotion toward brand or product,mention mention mention there's talk that apple's thinking of a downtown aus location and this temp #sxsw store might be a test
No emotion toward brand or product,mention mention mention this is the press release for the ipad apps i am helping launch at #sxsw {link} #sxswi
No emotion toward brand or product,mention mention mention this is the press release of the ipad apps i am helping launch at #sxswi {link} #sxsw
No emotion toward brand or product,#awesome mention &amp mention on ranking there are no normal results quit ranking page views unique visitors - these analytics matter #sxsw
No emotion toward brand or product,google's mention &quotthinking by making&quot key to agility drawn out strategic planning can slow unnecessarily #sxsw #agileagency
Positive emotion,all this mention #sxsw buzz makes me wish i had an android or i-phone  #beforetwitter i wouldn't have had such envy
No emotion toward brand or product,mention mention $ #tweethouse #ipad #sxsw #dotco
No emotion toward brand or product,mention mention according to mention google has confirmed it is not launching at #sxsw if at all
No emotion toward brand or product,mention mention apple is opening temp 3rd-store at  #sxsw selling new ipad-2 to handle xtra sales  {link}
No emotion toward brand or product,mention mention apple set to open popup shop in core of #sxsw action {link} #ipad2
Positive emotion,mention mention apple sets up temporary store at #sxsw ipad anyone {link} cc mention
No emotion toward brand or product,mention mention apple to open temporary store friday in the scarbrough building at 6th and congress #sxsw {link}
No emotion toward brand or product,mention mention apple's gotta take advantage of all the hipsters that head out to #sxsw somehow
No emotion toward brand or product,cool rt mention apple has opened a makeshift store for #sxsw ipad2 will be available at 5pm today #tempted
No emotion toward brand or product,download mention and let's do one in sf this is sweet mention mention mention {link}  love the vid (via lenashaw) #sxsw
No emotion toward brand or product,just met mention at q&ampa with bing and google panelinteresting to hear about what nasdaq is doing in social media #sxsw
Positive emotion,love it mention at #sxsw &quotapple comes up with cool technology no one's ever heard of because they don't go to conferences&quot
Positive emotion,love it mention at #sxsw &quotapple comes up with cool technology no one's ever heard of because they don't go to {link}
No emotion toward brand or product,love rt mention anyone at the show have an iphone charger need to tweet jokes about beards/text ppl to make them jealous #sxsw
No emotion toward brand or product,ran into mention at the temporary apple store with mention mention and amy #sxsw
Positive emotion,i agree mention but they're all so great  &quotiphone apps for mealtime&quot {link} (via mention #bizzy #sxsw
No emotion toward brand or product,mention mention check this {link} #sxsw #google
No emotion toward brand or product,watching mention covering the ipad 2 launch live at the apple pop-up store in austin at #sxsw {link}
No emotion toward brand or product,[lol] rt mention don't worry you guys found an iphone charger what's the deal with hipsters and beards right #sxsw
No emotion toward brand or product,haha the mention drinking game --&gt &quotdrink every time seth says game layer or google ventures&quot #sxsw cc mention mention
No emotion toward brand or product,nice rt mention don't forget come to our q&ampa with google's mention &amp bing's mention on ranking panel mon 1230pm #sxsw
Positive emotion,yeah rt mention details for the ipad 2 giveaway coming tonight rt this #sxsw #sxswi
No emotion toward brand or product,google's mention envisions location-based future {link} #sxsw #location
No emotion toward brand or product,google's mention envisions location-based future {link} #sxsw #location {link}
No emotion toward brand or product,mention mention finishing up beta on android &amp iphone sunday couple guys at #sxsw showing off got about 20 beta moms ready 2 beta
No emotion toward brand or product,remember mention from our last campaign &amp upcoming #sxsw event {link} his new album dropped {link}
Positive emotion,woot rt mention first android mention disc {link}  market version coming soon #sxsw
Positive emotion,yay rt ûïmention flipboard's next platform will be the iphone ceo mention says #sxswû
No emotion toward brand or product,mention mention get go to work yet i've been trying for days #sxsw #android #evo
No emotion toward brand or product,mention mention great to meet you mention meetup this is the post about our new #sxsw medical apps {link} #sxswh #hcsm
No emotion toward brand or product,nice rt mention getting ready for my ipad 2 vs android panel at #sxsw come check it out at 230
Positive emotion,score rtmention google handing out free pi for pi day #sxsw #win
Positive emotion,whoa rt mention google to launch major new social network called circles possibly today {link} #sxsw
Positive emotion,cool rt mention heard about apple's pop-up store in downtown austin pics are already on gowalla {link} #sxsw #ipad2
Positive emotion,nice rt mention hey apple fans get a peek at the space that's slated to be a pop-up #sxsw apple store tomorrow {link}
Positive emotion,mention mention i'm reading your book on my flight to #sxsw and the guy next to me is reading it on the ipad boom
No emotion toward brand or product,mention mention is here at the industry party presented by  #gsdm &amp #google in austin tx for #sxsw
Positive emotion,haha rt mention if you haven't waited in line for an apple product you're missing out on an important rite of passage #sxsw
No emotion toward brand or product,just met mention in line at the apple store at #sxsw 
No emotion toward brand or product,tonight mention is checking out the kills and mention is checking out the gsd&ampm/google party come say hi #sxsw #sxswi #music
